model,dataset,budget,feature,nResolved,meanResolved,medianResolved,stdResolved,q25Resolved,q75Resolved,nEscalated,meanEscalated,medianEscalated,stdEscalated,q25Escalated,q75Escalated,mannWhitneyU,mannWhitneyP,rankBiserialEffectSize
qwen2.5_7b,aegis,124,finalVoteMargin,200,0.9923384781958533,1.0,0.02259926115419087,1.0,1.0,86,0.10664771634182095,0.0,0.2200307515464756,0.0,0.08257839721254355,17200.0,4.5270376986505315e-53,-1.0
qwen2.5_7b,aegis,124,finalEntropy,200,0.011233668995445024,0.0,0.03380353627811226,-0.0,0.0,33,0.35535356270521684,0.3467334479787441,0.119442728587285,0.2733683098302411,0.44904211396032784,8.0,1.2550647814174895e-33,0.9975757575757576
qwen2.5_7b,aegis,124,numberOfEliminations,275,1.1490909090909092,1.0,0.35682742729960953,1.0,1.0,109,1.1192660550458715,1.0,0.5729192729993537,1.0,1.0,15188.5,0.7699704744014094,-0.013411175979983314
qwen2.5_7b,aegis,124,numberOfSurvivingCandidates,275,1.0,1.0,0.0,1.0,1.0,109,1.3027522935779816,1.0,0.6597500530639152,1.0,1.0,12100.0,7.869043358131696e-14,0.19266055045871555
mistral_7b,hatemoderate,75,finalConfidence,151,1.0,1.0,0.0,1.0,1.0,0,,,,,,,,
mistral_7b,hatemoderate,75,totalPulls,183,73.22950819672131,72.0,12.369841172623092,72.0,72.0,217,217.8110599078341,219.0,26.073547459295508,219.0,225.0,674.5,2.738069695521538e-69,0.9660295635969882
mistral_7b,hatemoderate,75,eliminationRound,183,24.0,24.0,0.0,24.0,24.0,214,24.453271028037385,24.0,0.6167943413588289,24.0,25.0,11986.5,4.341900601154725e-21,0.3878504672897196
mistral_7b,hatemoderate,75,finalVoteMargin,151,1.0,1.0,0.0,1.0,1.0,149,0.1384512132163139,0.0,0.2699796236273655,0.0,0.12,22423.5,3.2233044855622276e-59,-0.9932885906040267
mistral_7b,hatemoderate,75,finalEntropy,151,0.0,0.0,0.0,-0.0,-0.0,56,0.3109241877688663,0.2710958424988331,0.15618260950095156,0.185754247590989,0.4684407099215875,75.5,2.905808029467165e-44,0.9821428571428571
mistral_7b,hatemoderate,75,numberOfEliminations,183,1.0,1.0,0.0,1.0,1.0,214,0.677570093457944,1.0,0.46850244110075034,0.0,1.0,25894.5,3.1855171743289326e-17,-0.32242990654205617
mistral_7b,hatemoderate,75,numberOfSurvivingCandidates,183,1.0,1.0,0.0,1.0,1.0,214,1.7102803738317758,1.0,0.9244650354516549,1.0,3.0,11986.5,4.341900601154725e-21,0.3878504672897196
mistral_7b,hatemoderate,100,finalConfidence,186,0.9937175193786483,1.0,0.017550887379860276,1.0,1.0,0,,,,,,,,
mistral_7b,hatemoderate,100,totalPulls,234,78.61538461538461,72.0,26.926014083053442,72.0,72.0,166,238.40361445783134,242.5,42.357065013448306,216.0,248.0,1123.5,8.108798726875043e-64,0.9421532282978066
mistral_7b,hatemoderate,100,eliminationRound,234,25.115384615384617,24.0,2.5824470341236707,24.0,24.0,163,25.766871165644172,24.0,3.8386767141031837,24.0,24.0,19152.5,0.9199992344628487,-0.004273504273504258
mistral_7b,hatemoderate,100,finalVoteMargin,186,0.9937175193786483,1.0,0.017550887379860276,1.0,1.0,154,0.05576426480911645,0.0,0.17261811125499843,0.0,0.0,28621.0,1.193279116782163e-66,-0.9983940790392403
mistral_7b,hatemoderate,100,finalEntropy,186,0.008808903053639806,0.0,0.024509351836381064,0.0,-0.0,31,0.32372985346392236,0.3576323447937104,0.14301950745460207,0.1807861430054266,0.44324189401837866,23.0,6.358000748238852e-31,0.9920221990981616
mistral_7b,hatemoderate,100,numberOfEliminations,234,1.1324786324786325,1.0,0.339737101042455,1.0,1.0,163,0.9815950920245399,1.0,0.35956751521856706,1.0,1.0,21762.5,4.3673865364147114e-05,-0.14113051229615636
mistral_7b,hatemoderate,100,numberOfSurvivingCandidates,234,1.0,1.0,0.0,1.0,1.0,163,1.2024539877300613,1.0,0.5573250619895486,1.0,1.0,16614.0,1.7854265666884396e-08,0.1288343558282209
mistral_7b,hatemoderate,124,finalConfidence,196,0.9892065136122746,1.0,0.025610581067338416,1.0,1.0,0,,,,,,,,
mistral_7b,hatemoderate,124,totalPulls,246,80.51626016260163,72.0,30.58607359229465,72.0,76.0,154,252.38311688311688,235.5,40.796353491401646,216.0,268.0,389.5,7.832717101832506e-67,0.9794372294372294
mistral_7b,hatemoderate,124,eliminationRound,246,25.88617886178862,24.0,3.9789307394201243,24.0,26.0,154,25.876623376623378,24.0,4.884720638218412,24.0,24.0,19833.5,0.3023998943548938,-0.04706472389399208
mistral_7b,hatemoderate,124,finalVoteMargin,196,0.9892065136122746,1.0,0.025610581067338416,1.0,1.0,104,0.03934773841763584,0.0,0.12351018461807203,0.0,0.0,20384.0,2.3546098320602955e-55,-1.0
mistral_7b,hatemoderate,124,finalEntropy,196,0.01500101675288461,0.0,0.03534822610601796,-0.0,0.0,25,0.28661887377965883,0.2660676548363843,0.12723081311895357,0.1807861430054266,0.3565344913352199,4.0,3.3007047636196883e-25,0.9983673469387755
mistral_7b,hatemoderate,124,numberOfEliminations,246,1.2032520325203253,1.0,0.4032389192727559,1.0,1.0,154,1.077922077922078,1.0,0.4047506701656905,1.0,1.0,21141.0,0.004100770746483461,-0.11609122584732345
mistral_7b,hatemoderate,124,numberOfSurvivingCandidates,246,1.0,1.0,0.0,1.0,1.0,154,1.103896103896104,1.0,0.43036435648311583,1.0,1.0,17835.0,0.00012900871765323296,0.058441558441558406
